Body_Name ,Date,Transaction_Number,Amount,Supplier_Name,Supplier_ID,Expense_Area,Expense_Type,Expense_Code,Extended_Description,Service_Code,Service_Label,Service Division Label,Service Division Code
West Wickham District Council,26/05/2017,157734,800,COPELAND BOROUGH COUNCIL,COP001,Environmental Services,Professional fees,2045,APSE TRAINING 23/24 MAY 2017,FOODSA,Food Safety,3033,Pennington Report
West Wickham District Council,26/05/2017,157738,2940,CUMBRIA WASTE RECYCLING LTD,CUM022,Technical Services Manager,Garden Waste Skips,2014,GREEN SKIP COLLECTION,RECYCL,Recycling,3047,Recycling
West Wickham District Council,26/05/2017,157756,2547,Redacted Infromation,SEW003,Finance Director,Grants and contributions,2079,PLFRG EDC16425,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,26/05/2017,156557,2100,VODAFONE BUSINESS SOLUTIONS,VOD002,Information Technology Manager,Contributions from general fund BS,7102,AIRTIME VARIOUS,INFTEC,Information Technology,10148,IT Repairs and Renewals Fund
West Wickham District Council,26/05/2017,156968,24000,PENRITH TOWN COUNCIL,PEN080,Commercial Services Manager,Promotional activity,2084,GRANT PTC EVENTS,TWNCEN,Town Centres,2636,Signature Events
West Wickham District Council,26/05/2017,157285,6000,APPLEBY TOWN COUNCIL,APP001,Commercial Services Manager,Grants and contributions,2079,SUPPORT GRANT APPLEBY TIC 17/18,TOINCE,Tourist Information Centres,2055,Other TIC's
West Wickham District Council,26/05/2017,157370,1991.6,THE BAMPTON TRUST,BAM006,Finance Director,Grants and contributions,2079,PLFRGRANT EDC 16316,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,26/05/2017,157371,3567.6,THE BAMPTON TRUST,BAM006,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16317,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,26/05/2017,157412,879.08,AMEY PLC,TFE001,Environmental Services,Dog Contract Collection,3201,SERVICE KENNELLING APRILl 17,CODOGS,Community Wardens,3045,Dog Control
West Wickham District Council,26/05/2017,157434,15000,PENRITH B I D,PEN063,Revenue/Benefits Manager,Contribution by EDC,2080,PENRITH BID,REVBEN,Revenue & Benefits,8108,Penrith BID Cash
West Wickham District Council,26/05/2017,157484,2939.68,AMEY PLC,TFE001,Technical Services Manager,FL  Contract,3300,FL-02/2017,FOOLIG,Footway Lighting,2258,Footway lighting
West Wickham District Council,26/05/2017,157486,32289.06,AMEY PLC,TFE001,Technical Services Manager,GM INSPECTIONS & MAINTENANCE,1089,M-GM62,CLCHYD,Closed Church Yards,2246,War Memorials
West Wickham District Council,02/06/2017,157923,926,ELECTRICITY NORTH WEST LTD,ELE005,Technical Services Manager,Building works,5502,LAMP TRANSFER THWAITE COTTAGE SOCKBRIDGE,LANDMA,Land Management,6149,Cap Footway Lighting
West Wickham District Council,02/06/2017,156972,794.08,AMEY PLC,TFE001,Technical Services Manager,Building Maintenance,1000,INSTALL FIT NEW BOILER,PUBCON,Public Conveniences,2266,Public Conveniences
West Wickham District Council,02/06/2017,157003,2065.83,AMEY PLC,TFE001,Legal Services Manager,Planned Maintenance,1016,QUOTED WORK PLUS ADDITIONAL WORK,FOOLIG,Footway Lighting,1007,Land Management
West Wickham District Council,02/06/2017,157565,4880.6,CIVICA UK LTD,CIV002,Revenue/Benefits Manager,Supplies general,2015,LADS PROGRAMME IT COSTS MAY 2016,BENFIT,Benefits,1142,HB Atlas Grant
West Wickham District Council,02/06/2017,156447,1207.5,TWEDDELL & SLATER CONSULTING ENGINEERS,TWE002,Finance Director,Balance Sheet entry BS,6003,CHARTERED ENGINEER/TECHNICIAN HOURS,FLOOD,Storm Damage Nov 2016,9319,Appleby Pool Flood 2015
West Wickham District Council,02/06/2017,156877,518.54,PROBRAND *CCS*,PRO013,Information Technology Manager,Computer equipment,2061,ML750E,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,02/06/2017,157276,1978.08,CUMBRIA COUNTY COUNCIL,CCC002,Technical Services Manager,Contract parking Service,3004,10 WEEKS PATROL West Wickham OFF STREET + PCN'S,OFFSTR,Vehicle Parking Off Street,2167,Vehicle parking
West Wickham District Council,02/06/2017,157562,644,BRITISH PARKING ASSOCIATION,BRI019,Technical Services Manager,Subscriptions & levies,2078,BPA MEMBERSHIP 17/18,OFFSTR,Vehicle Parking Off Street,2167,Vehicle parking
West Wickham District Council,02/06/2017,157564,-518.54,PROBRAND *CCS*,PRO013,Information Technology Manager,Computer equipment,2061,CREDIT AGAINST INV 566040 RETURNS,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,02/06/2017,157632,1000,LIONS CLUB OF PENRITH,LIO003,HR,Advertising,50,MAY DAY CARNIVAL,CENTRA,Central Expenses,208,Staff Recruitment
West Wickham District Council,02/06/2017,157753,1000,NEOPOST LIMITED,NEO001,Corporate Services Manager,Postages,2054,FRANKING MACHINE REFILL 26848,CENTRA,Central Expenses,204,Postages Mansion House
West Wickham District Council,02/06/2017,157758,7600.72,CUMBRIA WASTE RECYCLING LTD,CUM022,Technical Services Manager,Recycling  - Bring Sites,3601,BS-56,RECYCL,Recycling,3047,Recycling
West Wickham District Council,02/06/2017,157759,19838.72,CUMBRIA WASTE RECYCLING LTD,CUM022,Technical Services Manager,Recycling - Bag & Box,3600,GB-01-17/18,RECYCL,Recycling,3047,Recycling
West Wickham District Council,02/06/2017,157760,22165.67,CUMBRIA WASTE RECYCLING LTD,CUM022,Technical Services Manager,Recycling - Garden Waste,3602,GW-01-17/18,RECYCL,Recycling,3047,Recycling
West Wickham District Council,02/06/2017,157805,2500,CIVICA UK LTD,CIV002,Revenue/Benefits Manager,Supplies general,2015,REVENUES PROCESSING 9/16/23/30.04.17,UNIVERS,Universal Credit,1183,Universal Credit
West Wickham District Council,02/06/2017,157816,500,HALAROSE LIMITED,HAL013,Elections,Balance Sheet entry BS,6003,CROSS BOUNDARY SUPPORT IMPORT INTERFACE,HOLD A/C'S,Holding Accounts,10304,Parliam Election Exp
West Wickham District Council,02/06/2017,157821,3000,CUMBRIA COUNTY COUNCIL,CCC002,Communities Director,Promotions,2081,CUMBRIA LEP CONTRIBUTION 2017/18,EDEVPR,Economic Development and Promotion,2003,Economic Promotion - BRRS
West Wickham District Council,02/06/2017,157822,2227.2,SHAW & SONS LTD,SHA002,Elections,Balance Sheet entry BS,6003,REFILL PRESIDING OFFICERS PACK PE,HOLD A/C'S,Holding Accounts,10304,Parliam Election Exp
West Wickham District Council,02/06/2017,157824,1048,FLORENCE MADDEN ASSOCIATES,FLO004,HR,Training Expenses,60,ILM L7 DIPLOMA COURSE B MCROY,STADEV,Staff Development,223,Staff Training DoG
West Wickham District Council,02/06/2017,157877,17434.39,AMEY PLC,TFE001,Environmental Services,Street Cleaning Contract,3100,M-SC62,APFAIR,Appleby Fair,3036,Appleby Fair
West Wickham District Council,02/06/2017,157895,1293,RICARDO-AEA LTD,RIC021,Environmental Services,Professional fees,2045,17/18 EMAQ SUBS 6 SEMINAR PLACES,POLCNL,Pollution Control,3027,Air Pollution
West Wickham District Council,02/06/2017,157901,1019.87,ROYAL MAIL NW,ROY001,Revenue/Benefits Manager,Postages,2054,POSTAGE 03/05-16/05/17,REVBEN,Revenue & Benefits,106,Revenues
West Wickham District Council,02/06/2017,157910,670.83,IRRV,IRR003,HR,Training Expenses,60,JUNE TO DECEMBER 2017 SUBSCRIPTION,STADEV,Staff Development,224,Staff Training DoF
West Wickham District Council,12/05/2017,158032,1020,NEOPOST,NEO004,Corporate Services Manager,Postages,2054,BC APR-PD-MAY 17,CENTRA,Central Expenses,205,Postages Town Hall
West Wickham District Council,42863,166290,29390.63,PUBLIC WORKS LOAN BOARD ,PWL001,Finance,Loan Repaid BS,6101,PWLB Loans,PWLBL,PWLB Loans,10356,PWLB Loan >12 Months
